"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"1",118449.946005271,288028.647497247,266814.31748465,21.0021947533521,22.7486851464177,21.7433655868717
"2",119694.739651989,304428.199754121,273719.80461683,20.535373664953,22.4637762173074,21.3274490580202
"3",95431.3244835559,240543.522156857,205310.016465383,22.7803914453692,24.0829074202633,23.5889138612641
"4",105366.834819735,225535.622324946,219436.53120558,22.8520310365486,24.2542210826934,23.3473816237886
"5",100903.268815745,241119.415143182,213945.150461286,22.5510396802436,23.9796441342453,23.1066022505153
"6",102330.920225039,243688.16745242,228950.800475933,21.9580865669459,23.584120452707,22.6391539301414
"7",110885.085434497,268126.72980143,239195.82763696,21.5464337869741,23.2374875643934,22.5003215840415
"8",115570.684928955,294015.847051206,284239.227149387,21.366615972918,23.0229323733363,21.9328754325514
"9",113263.207831465,295954.055709593,269290.066389307,20.332760563428,22.1535913708671,21.3404171044998
"10",130358.245103699,338140.389441226,319253.214407425,18.8516879563667,20.9165177107186,19.6570369135476
"11",101480.884478995,257164.673941128,220763.547719781,22.1411878630672,23.8251167961715,22.9464977476072
"12",112035.525114622,274831.705793345,258232.711174792,21.6088948135201,23.4339136312659,22.1893123152386
"13",114865.648215658,280111.503377636,253764.396233572,21.6208664094088,23.3137114609257,22.2906045263131
"14",119510.047830551,302506.413827477,285674.925990342,21.1645730607552,23.2477699747171,21.5750142982187
"15",100010.381856193,255540.684277278,212178.128415423,22.1348294890588,23.5731982126353,23.1393834045474
"16",113641.987270209,274514.899567664,246257.725569296,21.7659006094933,23.5102278554459,22.6201960226119
"17",109730.910183048,289090.413693837,277025.861384018,20.7228165881373,22.3035677593732,21.6548386202268
"18",100145.574453548,231594.616275685,205453.666718199,23.118193760448,24.2760023742086,23.9108972979553
"19",115460.1566013,288148.839160292,264762.72816933,21.0963235334141,22.750669903643,21.6785671742834
"20",113355.15703584,272817.576036113,242483.219668884,21.4437316902047,23.066861533612,22.4433697505573
"21",110107.353185145,282965.942565287,276202.838288033,20.9979399311096,22.6704955225913,21.7078987082915
"22",107676.539439289,284800.783980121,246198.613455449,21.3800949047457,22.9699385319318,22.2925762057271
"23",127032.847641719,319855.165072695,292127.049226835,19.941306504231,21.8269156143092,20.7127679750008
"24",118650.680770867,343116.286616078,323483.386808621,19.4204593736028,21.4982862936278,20.1205506907579
"25",111558.747203114,246240.307673346,229109.125341276,21.8564196322439,23.6916557468872,22.2610784400278
"26",108348.118024232,276641.547008126,241906.209060863,21.0168517584731,22.6596194597805,21.9055460773068
"27",111092.085626747,254424.304131575,228758.595150755,22.2789901554186,23.8641421128481,22.9386208432987
"28",116837.503090982,275998.458546444,250410.620713353,21.7080900270107,23.4145141686905,22.2871212642393
"29",141990.118319048,342635.296284404,307533.712054016,18.9141520163299,21.3846001546412,19.8422337170126
"30",118168.242147788,300749.023227729,270431.026086498,20.2709694318803,22.4766697812259,20.8693474439116
"31",122945.576800135,285247.81500207,235754.442082865,21.0216012880035,22.8491384101399,22.1509301221143
"32",102635.461377296,283995.113446871,250729.080594616,21.2157158759825,22.9284822442475,22.0809772706566
"33",126904.69262541,297520.924016434,264996.744977174,21.4699410059418,23.1041021096657,22.1728611351041
"34",119910.340579419,320029.095325818,309963.098436212,19.683908940477,21.7736766545228,20.4013534497853
"35",101651.231528284,280563.923003327,250417.208905586,21.0063108566819,22.4644110026086,21.8826772301903
"36",112749.713177739,270250.683645503,254072.698810613,21.1958308131218,22.8873818778553,21.7425449623274
"37",114488.98232848,279210.868517389,265302.369189674,20.9359304389893,22.6836786345356,21.5348578495943
"38",133352.287272506,305886.011043761,277581.415971897,21.633890550515,23.412167453275,22.31998465796
"39",119788.003449052,278035.128813694,248496.23941105,21.4973008440334,23.2876945556641,22.3325553275242
"40",114978.71202459,269992.122989652,246939.74406217,21.5666215167922,23.1012366852513,22.4704666173337
"41",115716.234528692,310017.136733067,268222.492384088,20.6723645898099,22.4464224501796,21.4968122530708
"42",115244.288368632,272764.862024061,252618.516941302,21.0471546377064,22.7076036914586,21.7586787598215
"43",112137.014877001,259402.643782702,238680.058459648,21.7988561941364,23.4179055596203,22.632829300804
"44",127068.5682229,325693.675623313,297572.656111553,20.835918290258,22.4934562527043,21.5576572164381
"45",121680.019278375,285972.251636525,256440.235767667,20.432797467273,22.7941009831717,21.3420399636436
"46",121309.608618705,306972.425529589,274429.921070189,20.8567557519231,22.5531219328063,21.5567561967718
"47",102491.02006431,254609.702823369,227521.630672485,21.3662353742688,23.1255543785599,22.211210214977
"48",101879.296571376,287236.669975889,267551.738409246,20.3936140171883,22.1372685730913,21.0584728866137
"49",116513.177165573,244047.07823706,212803.685417769,22.6613146669282,24.264680968168,23.5135001104579
"50",111818.754454299,273031.916979544,246396.914665744,21.6764185320687,23.3525345406201,22.3567084105669
"51",121347.569307011,309630.757566344,281133.756346723,19.9831525134373,21.7809403546022,21.0441663219081
"52",103498.069666597,255696.292971569,232360.319059867,21.7536195885863,22.9659928525788,22.5026446939345
"53",128253.371606191,316985.688040435,283937.059435196,20.4700300866517,22.3734546937952,21.3310354188271
"54",118310.578936806,329568.291194241,312050.187590683,20.1849612459751,22.1592770966182,20.8126006911155
"55",145255.129040129,366866.45410078,324872.856480708,19.5120002139145,21.8665956314985,20.3037056466434
"56",117896.003298567,305608.836301749,272258.071645858,20.4638657310448,22.4423363490269,21.261197176336
"57",111044.946961466,288974.444711453,268253.493608793,21.8581368457277,23.1970697087299,22.4601006844265
"58",119385.99139271,291748.525080758,259562.082912838,21.4972847869062,22.9567471955651,22.4790494612135
"59",124503.848867768,323054.359042101,305352.889102257,20.0648563421968,21.9726424044325,20.8629457733663
"60",114195.909781647,289775.090625074,254735.796460116,21.03207852465,22.5919609305133,21.8422936663836
"61",121344.72331593,269361.484788535,257654.258174521,21.3760256808313,22.9829800968847,22.0881388074063
"62",119436.019905994,310937.239547888,299513.370760364,20.6262402055947,22.3937995817584,21.2110948824506
"63",131329.404677449,309337.238033329,284060.086458177,20.6250817181012,22.7238424689768,21.3004510115041
"64",107206.044536308,268448.300952197,244174.962504681,21.9231017137046,23.2953614482392,22.6585072197356
"65",105702.324810637,280967.339735405,256882.98903488,20.7671320509247,22.2702338612488,21.7812855249807
"66",106630.088474194,257672.242608971,250186.758975995,22.2440850780424,23.7313073075241,22.7732215674237
"67",110454.147984238,280020.640183879,247235.80658311,22.4040418228465,23.8006186800715,23.1723205049291
"68",119317.31466886,338819.086012498,315447.682221577,20.1544181848494,22.3923313323469,20.6209642694172
"69",112320.714155976,309490.515757924,277533.204711456,20.9398033655736,22.5645247468917,21.7977098166534
"70",109785.43011018,274714.886072802,237595.831858153,21.43601257685,23.232134661439,22.4054570672943
"71",106618.279181867,261943.099608424,235513.115165573,21.4386113738154,22.9852328253783,22.6076788396139
"72",120729.427227354,267934.482575263,246639.766469927,21.7631242462718,23.5818040049747,22.503188056686
"73",100709.959325216,272687.119578503,241387.392873157,21.6074772383945,23.1631762604163,22.5151489998845
"74",115834.534009388,297968.46793553,276295.50457162,20.7686247233863,22.475372264014,21.4122088528489
"75",102828.465771617,274208.071656331,268147.200662061,21.4229211601896,22.9269478657876,22.0646332589603
"76",106294.129475338,295576.679552558,276542.049801322,20.1318644077377,21.733530125181,20.828225513094
"77",94229.4565897322,253754.687371755,226182.820002457,21.9221031699742,23.1612373873185,22.6994179399922
"78",124218.177130245,323494.645255648,304433.311817055,20.8233031171801,22.6197016469089,21.3850142615243
"79",126035.735050531,329023.57237944,286010.954819213,20.5046447312836,22.543606181335,21.1901593903571
"80",108062.458498508,264512.962589116,242110.894761176,21.4826324280839,23.2424794716006,22.2582026598729
"81",116055.582778873,290956.700033763,264469.451892721,20.8204024268271,22.5156042805064,21.3995050004
"82",125182.770854758,322827.819075247,285539.638915177,20.156958733919,21.8209393873348,21.3916243253843
"83",114497.656288298,279876.387923319,273409.885827704,20.9542317476185,22.8464919725676,21.5719840598493
"84",121023.667267739,295171.891238304,286517.293692033,20.9717630081063,22.6990566660853,21.561892123468
"85",111985.31774587,270908.427547788,255311.423856705,21.9570171598743,23.3138537852736,22.6718567896168
"86",112078.118409493,269509.372634622,232394.710980774,21.4478517816569,22.8306758685798,22.4193582218839
"87",125474.23939428,291241.408710167,255004.174473425,20.3989185305042,22.5080465509565,21.2468245729843
"88",115469.188062842,293525.28166448,285677.818181979,19.5125461844655,21.5390282727571,20.2698080258329
"89",109640.627492397,252055.39402276,237867.226057443,21.9457129710612,23.4992807424513,22.5881182291312
"90",116634.725308991,303691.161617791,290290.296878961,20.0296131860989,21.9456737234485,20.7261818688305
"91",111836.826080502,287796.995051148,273392.699747154,20.5800329649138,22.2202621160022,21.3463180652155
"92",116019.606767685,291214.055437646,280999.624799047,20.5086252075667,22.4484475130605,21.0097680037156
"93",124860.284487517,322901.563946808,285631.009322359,19.2820761142708,21.233926908353,20.4273469269523
"94",122428.852509727,323671.11353978,294478.052536042,20.3769866650211,22.2456777580953,21.0769020357369
"95",122426.958340304,318652.886866792,283855.519995724,20.3594164592797,22.1864482152953,21.1896882633454
"96",106169.061530019,289157.535330777,269697.89925867,20.533017651734,22.1595351701211,21.4142250873871
"97",104819.089464782,289920.394896313,258066.356371876,21.3769462514187,22.8960376105952,22.2152685636014
"98",116944.73644814,277233.246939978,246789.720478659,22.1876039259138,23.564820358092,22.8422390221535
"99",127816.522610444,338677.855133881,315389.165091174,19.1982377143762,21.4184756111842,19.9288883287187
"100",119020.862897073,287070.591653067,257922.888833455,21.550628539144,23.1062942644485,22.3518820324266
"101",123310.850604236,298606.061482877,280028.52568718,20.7626122078491,22.6036175962808,21.5184942006319
"102",115330.30393128,285860.841084452,262758.420054476,21.2137604540072,22.852154483748,22.0822597090569
"103",111471.231083629,294315.094254128,273649.172877376,20.7328945333854,22.4833184421548,21.5090340586775
"104",117034.295031401,267779.734555761,237536.943055351,21.7782407547145,23.5012249571053,22.6956124534661
